"instructor","id","section_sis_id","my_instructor_may_share_my_reflection_responses_with_the_researchers_in_this_study","as_of_today_i_am_at_least_19_years_of_age","in_this_class_youll_be_learning_about_the_process_of_scientific_investigation_what_do_you_think_that_process_looks_like_from_the_perspective_of_a_researcher_compared_to_what_it_looks_like_from_the_perspective_of_someone_in_the_general_public_who_is_a_consumer_of_scientific_results_write_a_paragraph_at_least_3_5_sentences_about_how_you_think_science_happens","paste_the_response_code_you_received_after_participating_in_the_graphics_experiment_here","what_do_you_think_the_purpose_of_the_experiment_was","what_hypotheses_might_the_experimenter_have_been_testing","what_sources_of_error_are_involved_in_this_experiment","what_variables_were_examined_for_each_variable_identify_whether_it_was_quantitative_or_categorical","what_elements_of_experimental_design_such_as_randomization_or_the_use_of_a_control_group_do_you_think_were_present_in_the_experiment_why","what_components_of_the_experiment_are_clearer_now_than_they_were_as_a_participant_what_questions_do_you_still_have_for_the_experimenter_write_3_5_sentences_reflecting_on_the_abstract","how_did_the_information_you_gained_from_the_components_of_this_project_participation_post_study_reflection_extended_abstract_presentation_differ","what_components_were_emphasized_in_the_presentation_that_werent_emphasized_in_the_abstract_why_do_you_think_that_is","what_critiques_do_you_have_of_this_study_and_its_design_what_would_have_made_the_study_better","if_you_had_to_hear_about_this_study_using_only_the_extended_abstract_or_only_the_presentation_which_one_would_you_prefer_which_one_would_be_better_for_determining_whether_the_experiment_was_well_designed"
"3","eda9f322fcc0a6549c3609067c486e1a","STAT-218-701.1238","I agree","TRUE","From the viewpoint of a researcher, scientific inquiry is a methodical, evidence-based procedure that entails developing hypotheses, carrying out tests, and analyzing data in order to deepen our understanding of the universe. Researchers work together with colleagues, adhere to strict guidelines, and publish their results in specialist publications. On the other hand, science is typically presented to the general public through media or educational channels as simplified, condensed conclusions. The complex labor that goes into conducting research can be obscured, which highlights the significance of good science communication in bridging the knowledge gap between the public and researchers.","commissionaire-mermaid-complaisances-nonchurchgoers","When evaluating the experiment in Stat 218, focus on key elements: clear research question, randomization, control group, treatment variables, sample size, data collection, experimental procedure, statistical analysis, ethical considerations, and meaningful conclusions. Assess these aspects to determine the experiment's validity and any potential limitations.

 ","The experimenter may have been testing hypotheses to determine whether certain factors or interventions have a significant impact on specific outcomes or variables. These hypotheses could be either null (no effect) or alternative (significant effect) statements.","Potential sources of error in this experiment include random error, systematic error, selection bias, measurement error, and experimental design errors. These errors can affect the accuracy and reliability of the results.","The variables examined were:

* Number of close friends (quantitative).

* Gender  (categorical).","The use of randomization and a control group was likely present in the experiment to minimize bias and isolate the effect of the independent variable on the dependent variable. Randomization helps ensure that groups are comparable, while a control group provides a baseline for comparison, enhancing the experiment's validity.","The abstract presents a concise overview of the research, which focuses on the comparison of 3D printed bar charts to their 2D counterparts in terms of conveying numerical information. It effectively references prior studies in the field, establishing a clear context for the research. The choice of keywords and references lends credibility to the work. However, the abstract lacks a clear statement of the study's primary findings or implications, which would help readers understand the significance of the research. In addition, a more detailed explanation of the specific metrics used to assess the ""effectiveness"" of the charts would provide a clearer understanding of the experiment's goals.","Participation gathers real-time, subjective feedback. Post-study reflection provides deeper insights. The extended abstract offers a formal summary, while the presentation conveys findings to a broader audience. Each component serves a unique role in understanding perceptual judgments on 3D printed bars.","Presentations emphasize visual aids, verbal explanations, audience engagement, key takeaways, and contextualization. This emphasis is to make the research more engaging and understandable for a live audience, whereas abstracts provide a concise written summary.","Some potential critiques and improvements for the study:

Critiques:

* Small sample size.

* Lack of participant diversity.

* Inadequate control of external factors.

* Potential order effects.

* Limited replication.

* Overreliance on subjective judgments.

* Lack of blinding.

* Unclear data analysis.

* Ethical concerns.

* Insufficient discussion of limitations.

Improvements:

* Increase the sample size.

* Include a more diverse group of participants.

* Control external factors.

* Randomize the order of evaluations.

* Replicate the study in different contexts.

* Incorporate objective measures.

* Implement blinding.

* Establish a robust data analysis plan.

* Address ethical considerations.

* Clearly discuss limitations.","If I had to choose between hearing about the study using only the extended abstract or only the presentation to determine whether the experiment was well designed, I would prefer the extended abstract.

The extended abstract is typically a more detailed and structured written document that provides a comprehensive summary of the research methodology, key findings, and conclusions. It is designed to convey the essential aspects of the study in a concise manner, making it easier to scrutinize the study's design and key components.

While presentations can be engaging and informative, they often focus on summarizing key findings and may not provide as much detail on the study's design and methodology. In a presentation, the emphasis is often on delivering a clear message to a live audience, which may not delve deeply into the study's design nuance"
"3","3ad23b55f619cc058df61557ee46f1fd","STAT-218-701.1238","I agree","TRUE","The process of scientific investigation probably looks different from how it is consumed in that scientists have to identify a reasonable way to set up an experiment that would answer the posed question. They would also have to break of the components of their experiment to determine the best way to approach the experiment. This would also factor in how to interpret the data that they’ve gotten (ie chi-squared test vs t test).","upreach-teariest-sept-haggle","To determine how different mediums (3D vs 2D) affect the visualization of data.","2D graphs are better at presenting data to the audience than 3D data.","People in the sample misunderstanding directions.","One variable was the type of graph presented (categorical) and the other was people’s perception of the graph (categorical).","Randomization was likely used to yield a large and wide variety of people with little bias toward what the experiment was testing.","The actual purpose of the experiment, effectiveness of conveying data in 2D vs 3D, is clear er to me now than it was as a participant. I was wondering if other factors influencing perception of 3D vs 2D graphs were considered. Also, if different kinds of data may be better reflected with the respective depths.","The knowledge about what was being experimented on was different. For instance, throughout participation, what was being experimented on remained unclear until reading about the results afterward.","The difference in users (novice vs people that are familiar with reading graphs) in perception of the different graphs more emphasized in the video. Different components of the audience in general were more addressed in the presentation.","The study could have more specifically studied novice graph readers to focus on a more specific group of people. I also feel that this would make for results that would better pertain to the general population.","I prefer the presentation because it is able to cover mor specifics and limitations to the study. However, I believe the extended abstract went more into detail about the specific experiment performed and would be better to determine how well it was designed."
"3","72a5372cff0cff4291462bc5c05a2c6e","STAT-218-701.1238","I agree","TRUE","From the perspective of a researcher, the process of scientific investigation is a complex one. A researcher must be able to set up an experiment and be able to remove any variables that could possibly affect their scientific research question. Researchers set up experiments to answer a question they are asking, and they must remove any variables that could possibly affect the outcome. They must also do background research on the question and gain knowledge about the overall experiment, The general public looks at the scientific investigation as just an experiment happening. They don't really think about possible variables and just look at the end results. ","esne-lymphokines-constabulary-chews","The purpose of the experiment was to see if 2D and 3D models can affect the perception of those who are currently looking at the graph. Will 3D graphs make the participant exaggerate the difference in two bars? ","For the null hypothesis, the experimenter may have been testing that hypothesis of 2D and 3D graphs have no difference when it comes to data comparison. For an alternate hypothesis, the experimenter may have tested 3D graphs have less accurate data comparisons when it comes to 2D graphs. ","Using a 3D graph and a 3D plane was something they planned for because in most previous experiments a 3D graph was used on a 2D plane. ","The variables that were examined were what type of chart, 2D or 3D, and this was categorical. The also examined the variable of how accurately the participant was able to compare the difference in data. This was quantitative. ","Randomization was used as participants all received different sets of graphs to examine. A person wasn't assigned to a certain set of graphs and it was up to random chance on which set of graphs they received. ","Yes, the components of the experiment are clearer now. The abstract gave us details to what the experiment was about and what the research question is. I now know that the experiment was set up to find how 2D and 3D graphs can affect the perception of a person. The set up for the experiment was explained in the abstract and I have background knowledge to why this experiment was set up in the first place. One question that I still have about the experiment is what is the population that is being observed here. Is it the general population or just college students?","Each component of this project explained a different part for the experiment. The participation was to collect data for the experiment while the presentation gave us a breakdown of what the the questionnaire was all about. It also broke down what the results would mean and what the scientific research question was being asked. ","The presentation emphasized the questionnaire and how it was set up to solve a certain research question. The abstract gave us a more detailed explanation about the overall experiment and how graphs set created for the questionnaire. The abstract goes into the detail about the whole experiment while the presentation focused mostly on the questionnaire. ","I believe using more graphs from programs that are used everyday like excel would've made the study slightly better. If we used graphs that were most commonly used, we could have a more accurate result to how 2D and 3D perception are different. ","Personally, I would've preferred the presentation as it gave a simple explanation about the experiment and what the goal of the experiment was. It gave details to what the research question was about and how the experiment was set up to find out answers to the research question. "
"3","d4b0dad89981f5ec916e18e797d4625c",NA,"I agree","TRUE","I feel like the process of scientific investigation is a process where research begins to study. Meaning I think they take a specific approach to the study. I also think that scientific process is used. I think science happens randomly and never planned. ","decury-gatched-asswaging-micropores","I think the purpose of this experiment was to get a better understanding of where STAT218 students land. ","How many participants will have consistent results? ","Circle/triangle ","Categorical ",NA,"Components that are clearer are the which shape is smaller. I say this because at first, it was a little hard to decide. After understanding it was a little easier to understand.","They differed because of the different aspects involved. The information I gained went up and down. Furthermore, the information made more sense after the experiment. ","I feel like components like replicating weren't emphasized. I say this because there was no real focus. After doing it, it was hard for me to understand. ","Some critiques I would have are maybe have different studies. Having different studies can have better results. When its repetitive it can get boring and easy to lose track. ","I would prefer a presentation. I am more of a visual person and not interactive. I feel like the presentation would give a better insight on how the experiment was deigned. "
"3","fbe42ae823655e69431c0d4631da8837","STAT-218-701.1238","I agree","TRUE","I think science happens based on curiosity. I think scientific investigation happen because of people question why things happen. The world only works because people question and test the unknown.","syndicalism-husking-xenolith-undisciplined","Reading graphs","How well the average person can correctly read a bar graph","Angles and sight","Types of graphs used. Categorical ","I believe there we more then just bar graphs",NA,NA,NA,NA,NA
"3","46e34815c5d2d21da05447181237442f","STAT-218-701.1238","I agree","TRUE","Being a researcher involves such meticulous detail planning, down to refining survey instruments and even following up with study participants. I have a research job on campus, and the amount of hats the primary investigator wears just to ensure that the study is conducted according to standards and regulations is extensive. Research assistants, like myself, write and aim to publish the results for readers to consume. Their role is simply reading the article (sometimes just the abstract and conclusion) and coming up with their own judgment on whether or not they think the results are true or accurate. There is a wide discrepancy in those who take scientific results as fact, and those who are extremely skeptical.","petrographical-diphyodont-riving-boehmites","The purpose is to evaluate if different formats of presenting data affects people's accuracy in making comparisons and perceptual judgements based on bar charts.","3D printed bar charts will lead to more accurate ratio judgments compared to 2D or 3D digital charts.","Fatigue effect over the course of making many judgements, learning patterns from seeing the same ratios multiple times, possibly difference in eyesight among participants.","Independent: chart type (categorical)

Dependent: accuracy of ratio judgment (quantitative) ","1. Random assignment of participants to groups receiving different chart ratio orders which distribute order effects

2. Within-subjects design where each person sees all chart types to reduce variability

3. Control group receiving only 2D charts to compare 3D formats to","I didn't give much thought to how or why the graphs and bar values were presented the way that they were. I realize now that there were specific algorithms used to create the bar charts and select comparison values. The motivation for using 3D printed charts is also clearer since the experiment is testing if 3D printed charts improve accuracy. I'm still curious about the sample size and participant pool demographic information.","The experiment itself didn't make it obvious that 2D presentation of a graph distorts the data, which is an interesting perspective to carry when reading different charts, especially bar graphs. I learned this through the extended abstract and presentation, which drastically changed my thought process when reflecting on why each type of graph led me to believe it had that specific ratio on the slider tool.

I gained minimal information from the experiment itself, but the post-experiment activities helped me gain a better understanding of the purpose of the study.","The abstract focuses on high-level motivation and methods, while the presentation provided more details on the design considerations around minimizing distortion and precisely replicating prior work. There were also 15 treatment conditions per participant, which is a key experimental design detail not mentioned in the abstract. 

I assume this is due to the nature of an abstract and its purpose; it's a shorter introduction to any given study/results, doesn't include visuals, and shouldn't include results when trying to get the study published.","Learning outcomes - Seeing the same ratios across multiple chart types may inadvertently training participants, skewing results. Showing each ratio only once could avoid this. I found myself detecting patterns of ratios with multiple graphs.","I would prefer the full conference presentation over just the extended abstract. The presentation would provide much more detail that would help me better evaluate the experimental design."
"3","d2ae357f706b0e984bf13881c0ac145d","STAT-218-701.1238","I agree","TRUE","I think scientific investigation will give us a plan for experimentation, from a researcher's perspective this will start by providing a question that needs to be answered and then creating a hypothesis. In comparison to the eye of the public this differs by providing results to the general public. I think that science happens in more ways than can be defined, science isn't one category of something, its discovering things.","skyscape-maternities-huff-angioma","I think that the purpose of this study was to get a visual on what perspectives people see certain graphs. ","How will this experiment differ from the one previously studied by Cleveland and Mcgill (1984)","A source of error that is involved in this experiment could be a participant not understanding the objective of what they are doing. ","3D or 2D printed - categorical

answers given - quantitative

 ","I think randomization was used in this experiment, they randomly selected a group of participants to do this study. The experimenter decided it would be more efficient to randomize these participants to get a better idea of the average intelligence.","I believe that the components of this experiment are more clear to a reader than a participant are the methods that were used. Being a reader you get more information about the experiment all at once instead of over an extended amount of time. A question that I still have for the experimenter is if the bar graphs are the same exact size, what effect would that have on the study?","Being a participant in this study I felt as though I didn't get a lot of background behind this experiment as for the why of it. Post-study reflection I felt as though I got more insight into what this experiment was for. These differed based on the people within the experiment, it's very unlikely that an experiment with a random group of people will be the same.","The components that were emphasized in this presentation were the experiment as a whole within this presentation. We got more background information in the presentation than in the abstract. ","Some critiques of this study that I would make would be to make it a little more interesting to participate in, I feel like I had a hard time staying focused on this. To make this better I would have made it shorter for the participants and broadened it to way more people so people have less graphs each but have more answers.","I would like to have heard about this from the presentation over the extended abstract. However I think that the extended abstract was more informational and provided us with more background information. "
"3","fa623327353f87bdf3bf17825c8afbeb","STAT-218-701.1238","I agree","TRUE","I think that scientific investigation would look like gathering data about a certain subject and using it to clarify or answer some hypothesis from the researchers point. From the perspective of someone in the general public, I think that they would only know the hypothesis and then also the results. They would not know the data collection process. So I think that plays into how science happens. Because science covers so many things I think it would be hard to dumb it down to only one explanation. ","pemmican-codeina-steelyards-curacao","To understand which bar graphs are easier to determine what is being shown on the graph. ","The hypothesis could have been if the graph is 2D the results of verifying what is being shown will be higher than if the graph was 3D.","Not having explicit directions the experimenter could be confused. ","2D, 3D and 3D printed. Determining the size. These would be quantitative because it would be a numerical value.","Randomization was used because the ever person got a different graph. ","The components that are clearer now than they were as a participant are what the experiment was doing. Being able to understand why we were trying to determine which graph was easier to read makes a lot of sense now. I do not think that I have any questions for the experimenter. The abstract was more helpful determining what the results of the study were, and how they were found. ","They all differed in explaining why the results were what they were. The abstract was from the views of the experimenter vs the general public.","The abstract did not have as much detail about the study as a whole. I think that was mainly because abstracts are generally used as small details about results instead of the experiement altogether. ","I think being able to use the 3D kit is not exactly relevant because there is no way that universities would be able to provide them for every student. Other than that I think that the study was very well designed and explained. ","I would prefer the presentation only. Although I think that the extended abstract would be better for determining whether the experiment was well designed. "
"3","98f6c8b263c1f505f04df430712457d7","STAT-218-701.1238","I agree","TRUE","first you get a group of people or group of things and gather some information about them, like credentials and important information usually involving something you are looking at. Then you usually split them into groups and observe them regardless of what group they are in and it is important they do not know what group they are apart of. ","rationalised-computerise-tropicalize-marcato","test how accurately we could get the sliders","if males or females tend to be more accurate","choosing which shape is smaller. someone might rush and completely get the small detail wrong.","shape which is categorical and length of difference which is quantitative","gaps between blocks were used as elements, also dimension was an element all used to make the experiment a little more challenging and intriguing.","It seems to be a lot more detailed and as a participant it does not feel it needs to be this detailed. I can see more clearly now that it is very important to make information as detailed and as clear as possible so that people other than just yourself can read it. Making it so that even children could read it is important is a sign of good writing. I am still curious how many tries and how long a proper experiment should be and last.","each gave no insight or rather a new lense of how to look or go about something. each was important and different. the presentation gave background information, the participation allowed me to try and get hand on, the post study reflection helped reflect on what i really just did and the exteded abstract showed what someone elses thought process might look like.","there were tons of visuals in the presentation and i think this is because the abstract is more limited with space and so it is important to put as much information is that space as possible without using many visuals.","I do not really have any critiques, i would say that the study could be better if it were expanded to more than just stat students. I think students with no stats background could be interesting.","I would much rather prefer the presentation again because of the visuals and the ability to have someone else explain it. When determining whether the experiment was well designed or not you would certainly have to look at the abstract and all its information."
"3","9120e4b7555eed0ea1cdd402206628b0","STAT-218-701.1238","I agree","TRUE","I think scientific investigation as a researcher looks like having a question. Then formulating a hypothesis and conducting an experiment using proper scientific practices. This might look like to the general public new information concerning a proposed question.","piscaries-regreen-endoplasm-upheld","To gage students skills at estimating relative size ratios.","Younger people are better at estimating relative size ratios compared to older people because their brain functions better.","The students are not supervised while participating in this experiement.","Age range - Quantitive

Gender - Categorical

Accuracy of estimating size ratios - Quantitive","I bet all the same bars were used because its the best way to judge peoples accuracy if they are all the same.","It is clear that the researcher is trying to gage the difference in accuracy between estimating the length of 2D bars and 3D bars. The study design is also clear. My question however is what is the point of knowing this?","I think I gained a bit more information each time. For the participation I did not know any purpose except for the instructions. After the extended abstract and presentation I knew much more about the purpose of this.","Components in the presentation not in the abstract include the stats departments participation and their predicted responses for true ratios. I think that is because the sample size was small and it was more used as a test run.","I think the study would be better if the sample size included a larger amount of different people. I also think results would be more accurate if it was supervised.","I would prefer the presentation because it used more visuals and I like videos better than reading. But I think the the extended abstract contained more information about the design."
"3","0c44b7e6b1a4ceb72d6ea5a814ea1fa7","STAT-218-701.1238","I agree","TRUE","All scientific investigations start with someone asking a question and someone attempting to answer it. The process from the prospective of the researcher is going to look much more in depth, they with think about the smaller aspects the general public would often not even consider. The general public will most likely only want the answer to the question, a few of the details and how true it is. I myself have often skimmed over research online just to find the short yes or no answer. ","aidmen-stirp-sponsal-invocation","To see which type of graph is easier to decipher.","How accurate a person is able to read a graph depending on the style.","It could be confusing for people to know if they are comparing the smaller bar to the larger of the two or the largest on the graph.","Response variable- how accurate the reading of the graph is 

Explanatory variable- The type of graph used

Both are quantitive","People were asked whether or not they wanted to participate so it was voluntary. I personally am not sure if I was in the control group or not so it is blind.","I guessed correctly what the experiment was about so I have very few questions. On question is if we know 2D graphs are easiest to ready why do we try to use the others if it's only for looks. How many people total are used for the experiment. ","The presentation made the experiment much easier to understand because it was made for the public. The two page paper was harder to understand because it was so in depth and mainly for the researchers.","It gave more details about how the experiment actually works and how it's conducted. The presentation was made to be that way so that the general public could understand it better.","It needs to be clearly stated that you are comparing the smaller bar to the larger of the two bars, not all of the bars on the graph. The first slide in the experiment where it shows you what you will be doing needs to include all the bars just like the experiment does. ","I would prefer the presentation because it is easier for me to understand. The extended abstract would be better for looking at the design of the experiment. "
"3","ad1643fdc850c6bfb16e21cd55065d67","STAT-218-701.1238","I agree","TRUE","From a researcher the process is very laid out step by step when coming up with a hypothesis all the way to the experiment type to analyzing the data received. From a consumer side the process looks a bit odd as were are just going to do the experiment with little to none information about how accurate we might be or what the overall hope of the experiment is for the researcher. It also seems to put pressure on the consumer because we don't fully know what the study if testing for. ","paris-prosthetic-endometriosis-anorexigenic","To see how accurate one can assume the specific height of a ar is to another on the same graph ","They might have been testing if a 2D model is easier to estimate its relative size to another when compared to a 3D model of it. ","Human error since it is the only main contributor, if some one did the experiment without actually looking at the graph and selected random answers which would lead the results to be different overall, but the experimenter could just not use these outliers as they would be rather clear to tell if a person attempted to ruin the results. ","Which bar is bigger triangle or circle, categorical

How much smaller is the bar than the other bar, quantitative","The randomization of everyone getting 5 out of 7 of the graphs to randomize what graphs were given the the consumer. ","Why we were taking this experiment and what the experimenter was hoping to gain from it is a lot lcearer after reading the Abstract. I would like to know how accurate wer the responses from the students who did the experiment online versus those who took it in class with the extra material. As well as what the results mean overall when applying it to further use. ",NA,NA,NA,NA
"3","bd4ee634234431bd3ce72ef3a88ea946","STAT-218-701.1238","I agree","TRUE","I think that a researcher has to do a lot more work than someone from the general public. They have to come up with ideas, research beforehand, design the experiment appropriately, make sure nothing goes wrong, and a bunch of other things. Scientific research for the general public typically consists of looking for a paper, or more often an article in a magazine or online, and seeing if the information in that article backs up their idea. The general public doesn't have to perform scientific experiments on the regular.","nonencapsulated-iambs-floatplane-arrogances","I think the purpose of the experiment was to study differences in size estimation between different visuals representations.","If a shape is presented in a 3-D format, then people will underestimate its size.","Some people may quickly glance at the graph and incorrectly assign shapes or sizes.","The variables examined were proportional size and visual representation. Proportional size is quantitative and visual representation is categorical.","I believe it would be randomized, as it's being offered to college students with no control over who they may be. A control was presented at the beginning of the survey.","The reasoning behind the experiment is clearer, as well as selection of participants, after reading the abstract. I would like to know in more detail the potential implications in data graphics for the visually impaired, and perhaps why 3-D graphs aren't viewed as positively as 2-D graphs if they're hypothetically more effective.","The information gained during the participation in the study was mostly conjecture, and the same was true for the post-study reflection. The extended abstract primarily covered the methodology of the experiment as well as its inspiration, and the presentation went over the study more broadly but in less detail than the abstract.","I think the design of the graphs themselves as well as the reasoning of the experiment were covered in more detail in the presentation than the abstract. This may be because the presentation is an explanation of the study for people who've taken it, while the abstract focuses on other scientists.","A notice on the screen that the 3-D models were mobile would have been nice, as I did not realize they were and that may have impacted my estimate and by extension their data. More types of graphs may have been beneficial but I can understand why a smaller sample was easier.","I would prefer hearing about the study using the abstract. I believe it provides more detail on the setup of the experiment, which is better for determining if it was well designed."
"3","28f9dd5473a9a2bce06c5fc336201ce5","STAT-218-701.1238","I agree","TRUE","Personally, i believe that from a researchers perspective it is interesting to investigate and search for different results. As far as someone in the general public, contributing in an experiment or a study would be cool because you would be able to see where you line up amongst other participants, the results would be extremely interesting from the general public side of things. With that, science can be interpreted in different ways from different people, some may think science happens in a lab with test tubes and explosions with different chemicals, but in reality science happens in everyday life through trial and error to seek a purposeful answer. ","relumines-cosmographers-chokers-dehumanized","Personally, i can identify that they are separating results based on different age groups, as far as the charts that were involved my only guess in the experiment is that they were studying aproximation within different age groups, the goal is to see how well different age groups can determine approximately how high a certain bar is in conjunction with another.","The experimenter may have been studying how well different age groups can approximate different things based on the charts that were given, although it seemed easy to participate in i do feel like there is a specific purpose behind the study. ","Different sources of errors could include, the thought proccess behind the person taking the survey and whether they understand what the experimanter is trying to research. Also, not being able to monitor the person taking the survey could lead to misleading infromation. ","Age: Quantitive 

Favorite zoo animal: Categorial 

 ","i believe that the use of convienace sampling is used because it is using stats 218 students to its benefit, the control variable would consist of the stats 218 class. ","components such as the purpose of the experiment, comparing our answers given on 2D charts to 3D charts and which ones we more accuratly answer. The thought process behind why this experiment is being tested is still a question in my head even though i read the abstract. Also, i was confused in the abstract when they talked about 3D charts and 3D printed charts, what is the difference?","Within my participation in the testing i had no idea what to think, but as i started to think after i completed it i started to come to the conclusion that they were testing how different peoples judgment are in different age groups. After, i completed the abstract and presentation i found that there was a specific purpose behind the testing, finding what the general public can read more accuratly as far as the different types of graphs. ","In the presentation there was a more in depth look at different graphs and results. For example, there was an elaborated graph on the different true ratios in the study.","Personally after gaining all of the infromation i have now on the study there is nothing to critique. Moreover to make this study better, i believe that when participants are tested they should be monitored. ","Personally i would choose the abstract just because i enjoy reading more than watching a presentaion, but as far as the infromation goes the abstract gives a brief, but well informed summary of the study. "
"3","2c8896c961dca9fcf1c7abd7e2182e51","STAT-218-701.1238","I agree","TRUE","The process of scientific investigation from the inside looks a lot different than from the outside. From the insider's perspective, one must come up with a question, a hypothesis, decide how to partake the study, choose variables, and have an entire strategic plan in regards of going about the study. Then, one must form a readable way to record results and finalize the study. From an outsider's view, the study is complete and one is able to read and understand the study and data for one's benefit and knowledge. It is much easier to be on the outside, but could be more rewarding from the inside. ","eosinic-willywaw-behoved-anarch","I think the purpose of this experiment was to determine how well we can differentiate smaller and larger bars on 3D bar graphs. ","Can people accurately identify the different levels on 3D bar graphs?","Since we are doing this study online, we are all participating in this experiment in different environments that could cause personal error. ","The first variable is deciding which graph is smaller and this is categorical because we are choosing between two options. The second variable is deciding how much smaller the smaller bar on the graph is, which is quantitative because we are determining an amount. ","I think that Stat 218 students and are the only ones allowed to participate in the experiment. I think the entire study is randomized with no control group. I think everyone got the same survey, and results of accuracy regarding the smaller bar in the graph will be compared. ","After reading on the study, I can better understand the reasoning behind it and the purpose of the experiment. I enjoyed that they tried using similar tactics as that of Cleveland and McGill. I thought it was unique that they had strategically planned out the distance between the two bars that were being assessed throughout the study, as I didn't think it was possible to be that in depth and in such detail. Overall, I am impressed by the experiment. ","As a participant in the study, having no idea what the purpose was at first, I truly enjoyed the experiment. I felt like I was doing a self-challenge to try and accurately determine how much smaller the smaller graph was. Next, I read the extended abstract and appreciated the purpose of the experiment, its history behind it, and the strategies used within the experiment. When doing the post-study reflection, I feel like I got to tie everything together that I had learned so far. Finishing off with the presentation, I feel like everything became full circle and I found interest in the additional information that was given that wasn't in the extended abstract. ","I think the purpose of the extended abstract was to be straight to the point and informative of the experiment itself. The presentation goes a lot more in depth when defining the purpose of the experiment, the methods, the results, and when giving examples and references.  One thing I noticed that was not in the abstract were the three assumptions that had to be used when attempting to replicate the experiment. I also didn't see results of the study in the abstract. ","I thought that the study was well put together. When I was doing the experiment, I hadn't yet understood its purpose, and I enjoyed the concept throughout its entirety.  I don't have any critiques or advice to make the study better - I appreciate the attempt of replicating Cleveland and McGill's previous experiment. ","I would prefer the presentation over the extended abstract. I think the presentation was all around more informative, easier to understand, and would be better for determining whether the experiment was well designed. Having a lot of backup information to support the experiment kept my interest and spiked my overall support for the conduction of the experiment. "
"3","e8205af256c701ed45755f830799f41e","STAT-218-701.1238","I agree","TRUE","I think that the process of a researcher looks very different from the consumer of the results. That is because the researcher is the one who makes an observation, asks questions, researches the background of the topic, form a hypothesis, test the hypothesis, and then draw conclusions from that. This process is rigorous and takes someone who will consider any and all aspects in order to provide the most valid and reliable results. On the other hand, the consumers are just absorbing the results that are being communicated to them from the researcher, and it makes sense, but the consumer would not been able to reach these conclusions like the researcher did. The researcher provides understanding for the consumer. ","bodysurfs-retreads-lambda-hereafter","I think the purpose of this experiment was to explore whether or not participants could determine the size difference between the two bars.  ","If participants are provided with an example of how to identify the bigger graph, they will be able to apply that knowledge to further questions.","There are no numeric values on the sliding bar, so choosing the spot on the slider is just an estimate.","Which bar graph was smaller (categorical)

How much smaller or larger the graph was to the bigger graph (categorical)","I think that each participant received random questions from a question pool. 

This is because then each participant has an equal chance of getting the questions correct.  ","The purpose of this experiment is much clearer compared to as they were when I was participating. I understand that the researchers are trying to compare the accuracy between reading the differences of the 3D images and 2D images. I understand that the experimenters were testing the effects of visual depth when interpreting 3D data in a 2D setting. It makes sense that 3D graphs are less accurate in a 2D setting because of visual depth issues. A question I still have for the experimenter is whether there was a perceptional difference between 2D, 3D, and 3D printed bar charts?  ","Participation: I was confused on the purpose of the study, but understood the directions clearly.

Post study reflection: I was able to guess what the hypothesis and purpose the study was, but i was incorrect.

Extended abstract: I understood that the researchers were trying to gather data on depth perception with 2D and 3D models.

Presentation: I was able to clearly understand how the researchers came to this hypothesis, sampling methods, and results because it was easier to understand rather than reading the abstract. ","A component of the presentation that wasn't emphasized in the abstract is participants were underestimating the true ratio between the larger and smaller graph. I think that this was not emphasized in the abstract because there were no results or conclusion sections. I feel that the abstract had more contents to it but was not provided to us. ","Something that would have made the study better is using numeric values when determining how much larger or smaller a graph is because each person has a different conceptualization of what the distance of the slider means. I think that this would provide more statistically significant results because it will not be categorical and the researchers could actually compare the numbers the participants are choosing. ","If I had to hear about this study using only one source, I would prefer the video presentation. This may be because I am a visual and auditory learner, but I also had a hard time understanding what the researchers wanted us to get out of the abstract because it was so complex. With the presentation, I was able to understand step by step how the study was conducted. "
"3","ae13fa30c15e8dbc92d19a8b633810e0","STAT-218-701.1238","I agree","TRUE","I think the process looks like conducting a sample group, formulating research questions, analyzing data, and looking at the outcome- from a researcher. From a perspective of someone to the general public, I believe it's about following a series of rules if you are in the experimental part, but as one in the control aspect it is about going about a day-to-day life. These consumers will then be carefully observed by the researcher in order to provide data of the study. ","untestable-stashed-greyly-edger","I think the purpose of this experiment was to be able to demonstrate how angles alter an individuals perception. ","A hypothesis the experimenter might have been testing would be angles have a direct relationship with the perception of size of an image ","The sources of error that are involved in this experiment are the complex shapes, if one has poor vision, or even depth perception it could make this experiment difficult ","Variables would be if the graph is smaller or larger- categorical ","Randomization, shapes were randomized ","The components of the experiment that are clearer now than they were as a participant would be the randomization of the shapes. The goal was to determine the outcome based on 2D compared to 3D images and the differences in the responses. A question I still have for the experimenter would be do the responses change in correlation to the participants age? Do younger adults have better accuracy than older adults? ","When participating in the study I was confused at what I was specifically doing and what the data being collected was. Once I was on the other side of the experiment it made more sense and realized it was about perception. ","Some components that were emphasized in the presentation that were not emphasized in the abstract would be that the 2D graphs are a lot easier to compare compared to the 3D images. I think this is because ones mind can be very overwhelmed looking at the 3D images. ","Some things I would change would be to make the images a little be more clear to see. I also think this would improve the results of the study. The online experiment was more difficult compared to if you could see the images in person. ","I personally would prefer the presentation. Compared to the abstract reading an abundance of information, it is more difficult to grasp the material. "
